species	longitude	latitude
Streptanthus_tortuosus	-119.37	37.88
Streptanthus_tortuosus	-120.69	39.31
Streptanthus_tortuosus	-120.38	39.32
Streptanthus_tortuosus	-120.02	37.48
Streptanthus_tortuosus	-119.86	37.98
Streptanthus_tortuosus	-120.66	39.68
Streptanthus_tortuosus	-120.2	38.06
Streptanthus_tortuosus	-119	37.6
Streptanthus_tortuosus	-122.55	38.46
Streptanthus_tortuosus	-119.84	37.58
Streptanthus_tortuosus	-119	36.75
Streptanthus_tortuosus	-122.55	38.46
Streptanthus_tortuosus	-123.39	40.15
Streptanthus_tortuosus	-122.02	40.69
Streptanthus_tortuosus	-118.53	36.18
Streptanthus_tortuosus	-118.8	36.51
Streptanthus_tortuosus	-120.67	38.43
Streptanthus_tortuosus	-120.18	38.59
Streptanthus_tortuosus	-121.5	40.49
Streptanthus_tortuosus	-120.1	38.88
Streptanthus_tortuosus	-121.6	41.58
Streptanthus_tortuosus	-123.8	41.07
Streptanthus_tortuosus	-122.15	41.41
Streptanthus_tortuosus	-120.63	39.36
Streptanthus_tortuosus	-119.09	37.63
Streptanthus_tortuosus	-122.15	41.41
Streptanthus_tortuosus	-120.09	38.88
Streptanthus_tortuosus	-118.77	36.57
Streptanthus_tortuosus	-118.57	36.4
Streptanthus_tortuosus	-120.76	38.28
Streptanthus_tortuosus	-118.58	36.43
Streptanthus_tortuosus	-123.01	39.51
Streptanthus_tortuosus	-120.67	39.3
Streptanthus_tortuosus	-122.23	41.37
Streptanthus_tortuosus	-122.27	41.24
Streptanthus_tortuosus	-120.31	39.32
Streptanthus_tortuosus	-120.16	38.84
Streptanthus_tortuosus	-120.06	38.9
Streptanthus_tortuosus	-118.57	36.4
Streptanthus_tortuosus	-118.57	36.41
Streptanthus_tortuosus	-118.65	36.58
Streptanthus_tortuosus	-120.08	38.89
Streptanthus_tortuosus	-120.1	38.87
Streptanthus_tortuosus	-119.68	37.89
Streptanthus_tortuosus	-119.22	37.85
Streptanthus_tortuosus	-120.55	39.3
Streptanthus_tortuosus	-120.71	39.26
Streptanthus_tortuosus	-118.42	36.6
Streptanthus_tortuosus	-119.5	37.73
Streptanthus_tortuosus	-119.41	37.74
Streptanthus_tortuosus	-119.34	37.78
Streptanthus_tortuosus	-123.01	41.34
Streptanthus_tortuosus	-120.14	38.9
Streptanthus_tortuosus	-122.93	41.55
Streptanthus_tortuosus	-118.64	36.96
Streptanthus_tortuosus	-119.58	37.74
Streptanthus_tortuosus	-119.6	37.75
Streptanthus_tortuosus	-122.27	41.21
Streptanthus_tortuosus	-119.64	37.74
Streptanthus_tortuosus	-122.23	41.37
Streptanthus_tortuosus	-120.1	38.91
Streptanthus_tortuosus	-122.27	41.25
Streptanthus_tortuosus	-122.31	41.27
Streptanthus_tortuosus	-123.95	40.72
Streptanthus_tortuosus	-123.58	40.44
Streptanthus_tortuosus	-123.39	40.33
Streptanthus_tortuosus	-122.38	41.2
Streptanthus_tortuosus	-122.97	40.84
Streptanthus_tortuosus	-120.13	38.86
Streptanthus_tortuosus	-120.03	38.83
Streptanthus_tortuosus	-119.6	37.75
Streptanthus_tortuosus	-122.36	41.39
Streptanthus_tortuosus	-120.11	38.88
Streptanthus_tortuosus	-119.85	37.88
Streptanthus_tortuosus	-120.54	39.31
Streptanthus_tortuosus	-119.1	37.29
Streptanthus_tortuosus	-118.66	36.59
Streptanthus_tortuosus	-120.83	39.56
Streptanthus_tortuosus	-122.22	40.78
Streptanthus_tortuosus	-119.68	37.89
Streptanthus_tortuosus	-120.14	38.88
Streptanthus_tortuosus	-121.06	39.22
Streptanthus_tortuosus	-120.53	37.95
Streptanthus_tortuosus	-118.74	36.67
Streptanthus_tortuosus	-121.27	39.95
Streptanthus_tortuosus	-120.25	38.85
Streptanthus_tortuosus	-121.66	41.58
Streptanthus_tortuosus	-123.47	40.81
Streptanthus_tortuosus	-120.53	37.84
Streptanthus_tortuosus	-119.13	36.87
Streptanthus_tortuosus	-122.39	41.42
Streptanthus_tortuosus	-123.14	40.86
Streptanthus_tortuosus	-120.67	37.82
Streptanthus_tortuosus	-119.57	37.81
Streptanthus_tortuosus	-119.6	37.75
